Country,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ecuador,9.0,12.0,15.0,14.0,8.0,21.0,16.0,11.0,15.0,18.0,33.0,21.0,24.0,19.0,30.0,31.0,29.0,38.0,56.0,40.0,38.0,70.0,82.0,67.0,102.0,94.0,82.0,117,97.0,144.0,153.0,159.0,205.0,197.0,261.0,288.0,359.0,303.0,324.0,412.0,462.0,582.0,889.0,1216.0,1452.0
Egypt,17.0,21.0,49.0,722.0,1006.0,1033.0,1123.0,1229.0,1355.0,1369.0,1419.0,1367.0,1375.0,1492.0,1557.0,1674.0,1805.0,1786.0,2010.0,1850.0,1892.0,2078.0,2163.0,2119.0,2108.0,2149.0,2226.0,2343,2446.0,2615.0,2899.0,2855.0,2914.0,3215.0,3633.0,4190.0,4963.0,5620.0,6821.0,7515.0,8151.0,9190.0,10196.0,11522.0,11753.0
El Salvador,5.0,10.0,18.0,11.0,14.0,13.0,12.0,13.0,14.0,1.0,9.0,3.0,5.0,3.0,4.0,6.0,2.0,11.0,3.0,6.0,10.0,6.0,6.0,10.0,12.0,2.0,6.0,11,12.0,17.0,6.0,22.0,21.0,20.0,17.0,20.0,27.0,37.0,44.0,47.0,39.0,50.0,75.0,68.0,61.0
Equatorial Guinea,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,1.0,2.0,0.01,5.0,1.0,2.0,1.0,4.0,1.0,3.0,1,3.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,11.0,11.0,5.0
Eritrea,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,2.0,6.0,1.0,17.0,10.0,14,19.0,26.0,19.0,20.0,28.0,31.0,29.0,16.0,20.0,13.0,14.0,4.0,20.0,22.0,26.0,19.0,23.0
Estonia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.01,1.0,1.0,0.01,3.0,12.0,17.0,47.0,295.0,377.0,379.0,483.0,491.0,550.0,592.0,558,606.0,592.0,641.0,728.0,783.0,841.0,1028.0,1089.0,1232.0,1419.0,1508.0,1577.0,1800.0,1921.0,1870.0,2042.0,1999.0
Ethiopia,55.0,48.0,39.0,40.0,40.0,47.0,43.0,46.0,52.0,79.0,98.0,90.0,76.0,86.0,124.0,126.0,111.0,149.0,186.0,153.0,189.0,168.0,191.0,209.0,219.0,191.0,243.0,215,203.0,260.0,267.0,290.0,279.0,306.0,404.0,428.0,523.0,565.0,681.0,728.0,899.0,1095.0,1170.0,1352.0,1685.0
Federated States of Micronesia ,0.01,2.0,0.01,2.0,1.0,0.01,1.0,0.01,0.01,1.0,1.0,1.0,0.01,0.01,1.0,0.01,5.0,1.0,0.01,1.0,2.0,4.0,6.0,3.0,0.01,1.0,3.0,5,1.0,0.01,6.0,7.0,4.0,7.0,8.0,5.0,12.0,10.0,4.0,10.0,7.0,13.0,14.0,11.0,29.0
Fiji,18.0,16.0,26.0,25.0,17.0,17.0,21.0,19.0,24.0,21.0,31.0,30.0,29.0,42.0,54.0,32.0,23.0,23.0,30.0,26.0,38.0,27.0,26.0,21.0,30.0,28.0,37.0,36,35.0,37.0,41.0,51.0,67.0,79.0,89.0,86.0,89.0,85.0,96.0,104.0,123.0,141.0,128.0,170.0,201.0
Finland,1452.0,1533.0,1504.0,1658.0,1964.0,2337.0,2456.0,2614.0,2629.0,3117.0,3274.0,3485.0,3411.0,3505.0,3763.0,3804.0,3868.0,4125.0,4428.0,4740.0,5123.0,5622.0,5898.0,6329.0,6612.0,6932.0,7259.0,7519,7737.0,7750.0,8013.0,8325.0,8360.0,8966.0,9092.0,9572.0,9861.0,10259.0,10790.0,11271.0,11964.0,12890.0,13249.0,13674.0,13457.0
